,Nombre,Pos.,Alt.,En la NBA,En la NBA,En la NBA
,Nombre,Pos.,Alt.,Desde,Hasta,Temp.
0,Precious Achiuwa,P/AP,203,2020,2022,2
1,Steven Adams,P,211,2013,2022,9
2,Bam Adebayo,P,206,2017,2022,5
3,Ochai Agbaji,ES,196,----,----,0
4,Santi Aldama,P/AP,211,2021,2022,1
5,LaMarcus Aldridge,P/AP,211,2006,2022,16
6,Nickeil Alexander-Walker,ES/B,196,2019,2022,3
7,Grayson Allen,ES/AL,193,2018,2022,4
8,Jarrett Allen,P,211,2017,2022,5
9,Jose Alvarado,B,183,2021,2022,1
10,Kyle Anderson,AP/AL,204,2014,2022,8
11,Giannis Antetokounmpo,AP,211,2013,2022,9
12,Thanasis Antetokounmpo,AP/AL,198,2015,2022,4
13,Carmelo Anthony,AP/P,203,2003,2022,19
14,Cole Anthony,B,191,2020,2022,2
15,OG Anunoby,AL/ES,201,2017,2022,5
16,Ryan Arcidiacono,ES/B,191,2017,2022,5
17,D.J. Augustin,B,180,2008,2022,14
18,Deni Avdija,AL/AP,205,2020,2022,2
19,Deandre Ayton,P,211,2018,2022,4
20,Udoka Azubuike,P,213,2020,2022,2
